t,MV,MVP,MVI,MVD,SP,PV,DV,Man
1.100000000000000000e+01,1.000000000000000000e+02,3.189992369747428711e+02,2.266987557402993403e+01,-3.790522099934082956e+00,7.000000000000000000e+01,3.424000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,3.184648998943831657e+02,2.438442815329331381e+01,-1.182984792253631401e+00,7.000000000000000000e+01,3.450000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,3.161494392128244613e+02,2.608651474624213762e+01,-3.152106232932066376e+00,7.000000000000000000e+01,3.471999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,3.141902032515055794e+02,2.777805319692479813e+01,-2.945771040679808550e+00,7.000000000000000000e+01,3.517000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,3.101826751488077889e+02,2.944801590206303743e+01,-5.571912313873818690e+00,7.000000000000000000e+01,3.550000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,3.072438212068294092e+02,3.110215639380203356e+01,-4.527936025530162389e+00,7.000000000000000000e+01,3.578999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,3.046611919850908521e+02,3.274239251619017921e+01,-3.931356626491879336e+00,7.000000000000000000e+01,3.607999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,3.020785627633522950e+02,3.436872426922747792e+01,-3.854090080465130352e+00,7.000000000000000000e+01,3.642999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,2.989615964612540324e+02,3.597827488684134067e+01,-4.536134562147138283e+00,7.000000000000000000e+01,3.659000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,2.975366975802947991e+02,3.758015412826162560e+01,-2.432973049288168710e+00,7.000000000000000000e+01,3.714000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
