t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,6.233932604196538705e+02,3.356227084687821272e+00,8.073936868525596537e+02,7.000000000000000000e+01,3.595000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,3.032362931041316187e+02,4.988791830882396638e+00,-3.100839709517377969e+02,7.000000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,3.024347874835921175e+02,6.617041427968088030e+00,-4.119889684847047562e+01,7.000000000000000000e+01,3.632999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,2.998521582618535604e+02,8.231386655702930710e+00,-8.680830857144966828e+00,7.000000000000000000e+01,3.646000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,2.986944279210741797e+02,9.839498890280495402e+00,-2.623751450555048326e+00,7.000000000000000000e+01,3.675000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,2.961117986993356226e+02,1.143370675550720961e+01,-3.684734357364046531e+00,7.000000000000000000e+01,3.671999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,2.963789672395154753e+02,1.302935300377022010e+01,-1.312059951763827059e-01,7.000000000000000000e+01,3.697999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,2.940635065579567708e+02,1.461253326571867461e+01,-3.015884105642161472e+00,7.000000000000000000e+01,3.714000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,2.926386076769975375e+02,1.618804215147355663e+01,-2.236076371228069792e+00,7.000000000000000000e+01,3.742999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,2.900559784552589804e+02,1.774964666787759171e+01,-3.634524252206996930e+00,7.000000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,2.880076863138801286e+02,1.930022358100336533e+01,-3.123593822722110502e+00,7.000000000000000000e+01,3.788000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,2.860484503525611899e+02,2.084025235186297564e+01,-2.942078228860755207e+00,7.000000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,2.851578885519617188e+02,2.237548651260160426e+01,-1.534465601589848793e+00,7.000000000000000000e+01,3.836999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,2.816846975296236337e+02,2.389202169386840069e+01,-4.697074021363675023e+00,7.000000000000000000e+01,3.861999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,2.794582930281248423e+02,2.539657034983274286e+01,-3.491894873193936100e+00,7.000000000000000000e+01,3.888000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,2.771428323465660810e+02,2.688865301948252906e+01,-3.451146909375537586e+00,7.000000000000000000e+01,3.929999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,2.734024727840482569e+02,2.836059832662418856e+01,-5.291340682473943069e+00,7.000000000000000000e+01,3.949000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,2.717104053629091140e+02,2.982343387453597927e+01,-2.876810151189149067e+00,7.000000000000000000e+01,3.985000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,2.685043828807509385e+02,3.126900882601223230e+01,-4.524903181560497423e+00,7.000000000000000000e+01,4.020000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,2.653874165786526191e+02,3.269780264206504938e+01,-4.623015556419964867e+00,7.000000000000000000e+01,4.042999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,2.633391244372738242e+02,3.411556885483960144e+01,-3.251619210419266714e+00,7.000000000000000000e+01,4.088000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,2.593315963345759769e+02,3.551175932206973584e+01,-5.611524529318177912e+00,7.000000000000000000e+01,4.120000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,2.564817985726575671e+02,3.689260703691272170e+01,-4.417724483874832409e+00,7.000000000000000000e+01,4.149000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,2.538991693509190100e+02,3.825955038240486061e+01,-3.917082474267182590e+00,7.000000000000000000e+01,4.181000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+02,2.510493715890006001e+02,3.961115097550985809e+01,-4.198267215911317685e+00,7.000000000000000000e+01,4.210000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+02,2.484667423672620430e+02,4.094884719926400152e+01,-3.888659258307424871e+00,7.000000000000000000e+01,4.252000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,2.447263828047441052e+02,4.226640606051002180e+01,-5.348005508816523701e+00,7.000000000000000000e+01,4.275000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+02,2.426780906633652535e+02,4.357293731847778417e+01,-3.345516970911972976e+00,7.000000000000000000e+01,4.307000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00
