t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,6.389000000000000057e+01,4.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,6.407999999999999829e+01,4.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,6.385999999999999943e+01,4.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,6.395000000000000284e+01,4.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,6.407999999999999829e+01,4.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,6.407999999999999829e+01,4.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,6.399000000000000199e+01,4.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,6.404999999999999716e+01,4.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,6.395000000000000284e+01,4.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,6.437000000000000455e+01,4.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,6.431000000000000227e+01,6.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,6.418000000000000682e+01,6.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,6.431000000000000227e+01,6.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,6.415000000000000568e+01,6.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,6.420999999999999375e+01,6.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,6.440000000000000568e+01,6.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,6.418000000000000682e+01,6.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,6.440000000000000568e+01,6.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,6.437000000000000455e+01,6.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,6.443999999999999773e+01,6.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,6.434000000000000341e+01,6.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,6.428000000000000114e+01,6.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,6.428000000000000114e+01,6.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,6.434000000000000341e+01,6.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,6.431000000000000227e+01,6.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,6.423999999999999488e+01,6.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,6.437000000000000455e+01,6.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,6.434000000000000341e+01,6.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,6.446999999999999886e+01,6.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,6.450000000000000000e+01,6.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,6.428000000000000114e+01,6.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,6.446999999999999886e+01,6.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,6.443999999999999773e+01,6.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,6.456999999999999318e+01,6.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,6.443999999999999773e+01,6.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,6.462999999999999545e+01,6.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,6.462999999999999545e+01,6.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,6.465999999999999659e+01,6.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,6.476000000000000512e+01,6.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,6.465999999999999659e+01,6.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,6.473000000000000398e+01,6.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,6.465999999999999659e+01,6.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,6.459999999999999432e+01,6.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,6.456999999999999318e+01,6.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,6.481999999999999318e+01,6.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,6.485999999999999943e+01,6.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,6.495000000000000284e+01,6.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,6.485999999999999943e+01,6.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,6.504999999999999716e+01,6.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,6.504999999999999716e+01,6.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,6.504999999999999716e+01,6.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,6.510999999999999943e+01,6.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,6.504999999999999716e+01,6.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,6.501999999999999602e+01,6.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,6.504999999999999716e+01,6.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,6.518000000000000682e+01,6.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,6.507999999999999829e+01,6.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,6.526999999999999602e+01,6.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,6.537000000000000455e+01,6.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,6.540000000000000568e+01,6.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,6.540000000000000568e+01,6.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,6.540000000000000568e+01,6.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,6.534000000000000341e+01,6.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,6.520999999999999375e+01,6.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,6.546999999999999886e+01,6.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,6.562999999999999545e+01,6.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,6.546999999999999886e+01,6.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,6.565999999999999659e+01,6.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,6.565999999999999659e+01,6.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,6.553000000000000114e+01,6.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,6.559999999999999432e+01,6.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,6.573000000000000398e+01,6.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,6.584999999999999432e+01,6.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,6.568999999999999773e+01,6.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,6.565999999999999659e+01,6.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,6.607999999999999829e+01,6.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,6.598000000000000398e+01,6.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,6.598000000000000398e+01,6.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,6.584999999999999432e+01,6.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,6.598000000000000398e+01,6.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,6.584999999999999432e+01,6.000000000000000000e+01
